year,quarter,province,origin,total_spend,quarterly_arrivals,spend_per_arrival,period,covid_period,low_reliability
2020,1,British Columbia,Australia,227586000.0,217578.0,1045.997297520889,2020-Q1,True,False
2018,3,Newfoundland and Labrador,Mexico,5700000.0,2034.0,2802.3598820058996,2018-Q3,False,False
2019,2,Nova Scotia,Germany,19878000.0,17238.0,1153.150017403411,2019-Q2,False,False
2019,3,Yukon,Australia,13368000.0,39474.0,338.6532907736738,2019-Q3,False,True
2019,4,Nova Scotia,Germany,9513000.0,20316.0,468.2516243354991,2019-Q4,False,False
2020,1,Nova Scotia,United Kingdom,4356000.0,738.0,5902.4390243902435,2020-Q1,True,False
2020,1,British Columbia,United Kingdom,162531000.0,129396.0,1256.074376333117,2020-Q1,True,False
2018,2,Quebec,China,146070000.0,99696.0,1465.1540683678381,2018-Q2,False,False
2018,3,Newfoundland and Labrador,United States,134841000.0,66426.0,2029.9430945714028,2018-Q3,False,False
2018,3,Nova Scotia,Japan,8859000.0,7830.0,1131.4176245210729,2018-Q3,False,False
2018,3,Ontario,India,146316000.0,340152.0,430.1488746207578,2018-Q3,False,False
2019,2,Saskatchewan,Japan,4149000.0,132.0,31431.81818181818,2019-Q2,False,False
2019,2,Yukon,China,3978000.0,5556.0,715.9827213822895,2019-Q2,False,True
2020,1,Alberta,Mexico,14337000.0,14598.0,982.1208384710234,2020-Q1,True,False
2020,1,British Columbia,Germany,54315000.0,46320.0,1172.603626943005,2020-Q1,True,False
2023,1,British Columbia,United States,1217886024.0,5230458.0,232.84500592491136,2023-Q1,False,False
2018,2,Nova Scotia,Australia,9126000.0,4824.0,1891.7910447761194,2018-Q2,False,False
2018,3,British Columbia,Mexico,226920000.0,314508.0,721.5078789728719,2018-Q3,False,False
2018,4,Saskatchewan,China,11448000.0,318.0,36000.0,2018-Q4,False,False
2019,2,New Brunswick,Germany,7998000.0,3906.0,2047.6190476190477,2019-Q2,False,False
2019,3,Nunavut,France,2766000.0,2784.0,993.5344827586207,2019-Q3,False,True
2019,4,Newfoundland and Labrador,United Kingdom,6561000.0,3600.0,1822.5,2019-Q4,False,False
2019,4,Nova Scotia,India,3522000.0,186.0,18935.483870967742,2019-Q4,False,False
2020,2,Nova Scotia,United States,6867000.0,552.0,12440.217391304348,2020-Q2,True,False
2021,1,Ontario,United States,89565000.0,887058.0,100.96859506368241,2021-Q1,True,False
2023,2,Manitoba,United States,166200000.0,510606.0,325.4955875959154,2023-Q2,False,False
